ID,Category,Severity,Codelist,Message,Context (Xpath)
9.1.1,iati,error,Version,The IATI version of the dataset is not a valid version number.,//iati-activities/@version
9.3.1,financial,error,Currency,The default currency code is invalid.,//iati-activity/@default-currency
9.4.1,information,error,ActivityDateType,The activity date type is invalid.,//iati-activity/activity-date/@type
9.5.1,information,error,ActivityStatus,The activity status code is invalid.,//iati-activity/activity-status/@code
9.6.1,information,error,ActivityScope,The activity scope code is invalid.,//iati-activity/activity-scope/@code
9.8.1,financial,error,BudgetType,The budget type is invalid.,//iati-activity/budget/@type
9.9.1,financial,error,Currency,The currency code is invalid.,//iati-activity/budget/value/@currency
9.10.1,classifications,error,CollaborationType,The collaboration type is invalid.,//iati-activity/collaboration-type/@code
9.11.1,performance,error,ConditionType,The condition type is invalid.,//iati-activity/conditions/condition/@type
9.12.1,information,error,ContactType,The contact information type is invalid.,//iati-activity/contact-info/@type
9.13.1,classifications,error,BudgetIdentifierVocabulary,The country budget identifier vocabulary is invalid.,//iati-activity/country-budget-items/@vocabulary
9.14.1,classifications,error,BudgetIdentifier,The country budget item identifier is invalid.,//iati-activity/country-budget-items/budget-item[../@vocabulary = '1']/@code
9.15.1,classifications,error,DescriptionType,The country budget item description type is invalid.,//iati-activity/country-budget-items/budget-item/description/@type
9.17.1,classifications,error,CRSAddOtherFlags,The CRS other flag code is invalid.,//iati-activity/crs-add/other-flags/@code
9.18.1,classifications,error,Currency,The currency code is invalid.,//iati-activity/crs-add/loan-status/@currency
9.19.1,classifications,error,LoanRepaymentPeriod,The repayment plan code is invalid.,//iati-activity/crs-add/loan-terms/repayment-plan/@code
9.20.1,classifications,error,LoanRepaymentType,The repayment type is invalid.,//iati-activity/crs-add/loan-terms/repayment-type/@code
9.21.1,classifications,error,AidType,The default aid type is invalid.,//iati-activity/default-aid-type/@code
9.23.1,classifications,error,FinanceType,The default finance type is invalid.,//iati-activity/default-finance-type/@code
9.24.1,classifications,error,FlowType,The default flow type is invalid.,//iati-activity/default-flow-type/@code
9.25.1,classifications,error,TiedStatus,The default tied aid status code is invalid.,//iati-activity/default-tied-status/@code
9.26.1,information,error,DescriptionType,The description type is invalid.,//iati-activity/description/@type
9.27.1,documents,error,FileFormat,The document format is invalid.,//iati-activity/document-link/@format
9.28.1,documents,error,DocumentCategory,The document category code is invalid.,//iati-activity/document-link/category/@code
9.29.1,documents,error,Language,The document language code is invalid.,//iati-activity/document-link/language/@code
9.30.1,financial,error,Currency,The currency code is invalid.,//iati-activity/fss/forecast/@currency
9.117.1,geo,error,Country,The country code is invalid.,//iati-activity/location/administrative[@vocabulary = 'A4']/@code
9.33.1,geo,error,GeographicVocabulary,The location's administrative vocabulary is invalid.,//iati-activity/location/administrative/@vocabulary
9.34.1,geo,error,LocationType,The location feature designation type code is invalid.,//iati-activity/location/feature-designation/@code
9.35.1,geo,error,GeographicLocationClass,The location class code is invalid.,//iati-activity/location/location-class/@code
9.36.1,geo,error,GeographicVocabulary,The location identifier vocabulary is invalid.,//iati-activity/location/location-id/@vocabulary
9.37.1,geo,error,GeographicLocationReach,The location reach code is invalid.,//iati-activity/location/location-reach/@code
9.38.1,geo,error,GeographicExactness,The location exactness code is invalid.,//iati-activity/location/exactness/@code
